akr_id,akr_name,akr_code,obs_id,obs_name,obs_code
47,Harlequin Rockfish,176,454,SMALL RED ROCKFISH GROUP,348
81,Squid,875,467,ROBUST CLUBHOOK SQUID,51
1622,"Skate, Aleutian",704,470,ALEUTIAN SKATE,85
997,Pacific Flatnose,260,472,PACIFIC FLATNOSE,210
1519,"Snailfish, general",218,494,MARBLED SNAILFISH,505
1513,Miscellaneous Flatfish,120,508,SANDDAB UNIDENTIFIED,136
6,Rock Sole,123,510,NORTHERN ROCK SOLE,120
1513,Miscellaneous Flatfish,120,523,DEEPSEA SOLE,110
54,Vermilion Rockfish,184,526,VERMILION ROCKFISH,331
988,"Greenling, kelp",194,529,KELP GREENLING,392
1538,Other Large Sculpins,286,531,RED IRISH LORD,407
1519,"Snailfish, general",218,535,SNAILFISH UNIDENTIFIED,500
1517,Eels or eel-like fish  ,210,537,SNIPE EEL UNIDENTIFIED,559
1623,"Skate, Whiteblotched",705,548,WHITEBLOTCHED SKATE,164
218,Unidentified Rockfish,139,554,DARK ROCKFISH UNIDENTIFIED,347
84,Blue King Crab,922,556,KING CRAB UNIDENTIFIED,2
1507,Kamchatka Flounder,117,1045,ARROWTOOTH/KAMCHATKA FLOUNDER,149
1506,Arrowtooth Flounder,121,1169,TURBOT/KAM/ARROW - UNIDENTIFIED,143
1005,"Tuna, albacore",720,1178,ALBACORE TUNA,784
1014,"Clam, little-neck",840,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1023,Sea cucumbers,895,1232,SEA CUCUMBER UNIDENTIFIED,41
1531,Other Small Sculpins,160,1248,ICELUS CANALICULATUS,429
65,Sockeye Salmon,420,89,SALMON UNIDENTIFIED,220
57,Pacific Halibut,200,91,PACIFIC HALIBUT,101
87,Bairdi Tanner Crab,931,97,TANNER CRAB UNIDENTIFIED,3
1089,Grooved Tanner Crab,933,97,TANNER CRAB UNIDENTIFIED,3
1513,Miscellaneous Flatfish,120,112,ROUGHSCALE SOLE,114
1536,Large Sculpins - Warty Sculpin,284,118,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
1089,Grooved Tanner Crab,933,122,TANNERI TANNER,18
1091,Triangle Tanner Crab,934,123,ANGULATUS TANNER,19
1037,"Crab, Hanasaki (Spiny) King",925,131,CRAB UNIDENTIFIED,1
1089,Grooved Tanner Crab,933,131,CRAB UNIDENTIFIED,1
1091,Triangle Tanner Crab,934,131,CRAB UNIDENTIFIED,1
1028,"Crab, scarlet king",924,136,LITHODID CRAB UNIDENTIFIED,14
1002,"Shark, pacific sleeper",692,160,PACIFIC SLEEPER SHARK,62
5,Flathead Sole,122,172,FLATHEAD SOLE,103
15,Alaska Plaice Flounder,133,174,ALASKA PLAICE,106
1513,Miscellaneous Flatfish,120,178,SLENDER SOLE,111
73,"Shark, Other",689,183,PYGMY SHARK,155
1430,Prowfish,215,190,PROWFISH,205
1640,Pacific Hake,112,191,PACIFIC HAKE,206
18,Northern Rockfish,136,214,NORTHERN ROCKFISH,303
35,Yellowtail Rockfish,155,230,YELLOWTAIL ROCKFISH,321
1646,Shortraker/Rougheye Rockfish,171,234,SHORTRAKER ROCKFISH,326
23,Thornyhead Rockfish (Idiots),143,243,LONGSPINE THORNYHEAD ROCKFISH,352
986,"Greenling, rock",191,245,ROCK GREENLING,393
1537,Large Sculpins - Yellow Irish Lord,285,257,IRISH LORD UNIDENTIFIED,418
1519,"Snailfish, general",218,265,BLACKTAIL SNAILFISH GROUP,501
1517,Eels or eel-like fish  ,210,279,KING-OF-THE-SALMON,608
59,"Pricklebacks, etc.  (family Stichaeidae)",208,291,PRICKLEBACK UNIDENTIFIED,750
1007,Lancetfish,716,302,LANCETFISHES,785
59,"Pricklebacks, etc.  (family Stichaeidae)",208,355,ARCTIC SHANNY,752
76,Lanternfishes (family Myctophidae),772,360,BROKENLINE LAMPFISH,704
77,Deep-sea Smelt (family Bathylagidae),773,366,BLACKSMELT UNIDENTIFIED,618
77,Deep-sea Smelt (family Bathylagidae),773,367,NORTHERN SMOOTHTONGUE,619
1531,Other Small Sculpins,160,378,THORNY SCULPIN,413
1531,Other Small Sculpins,160,380,CALICO SCULPIN,420
1517,Eels or eel-like fish  ,210,400,WATTLED EELPOUT,251
16,Greenland Turbot,134,422,GREENLAND TURBOT,102
1517,Eels or eel-like fish  ,210,444,BLACKLINE SNIPE EEL,561
1519,"Snailfish, general",218,447,RIBBON SNAILFISH,507
32,Shortraker Rockfish,152,451,SHORTRAKER/ROUGHEYE ROCKFISH,354
21,Pacific Ocean Perch,141,454,SMALL RED ROCKFISH GROUP,348
1517,Eels or eel-like fish  ,210,473,BIGFIN EELPOUT,257
1518,Wolf-eel ,217,481,WOLFFISH UNIDENTIFIED,779
1621,"Skate, Other",700,501,FLATHEAD SKATE,86
1621,"Skate, Other",700,504,COMMANDER SKATE,163
1032,"Shrimp, sidestripe",962,518,SHRIMP UNIDENTIFIED,70
1034,"Shrimp, coonstripe",964,518,SHRIMP UNIDENTIFIED,70
1513,Miscellaneous Flatfish,120,524,ARCTIC FLOUNDER,146
1535,Small Sculpins - Threaded Sculpin,283,530,SCULPIN UNIDENTIFIED,400
1517,Eels or eel-like fish  ,210,545,BASKETWEAVE CUSK-EEL,255
73,"Shark, Other",689,546,PACIFIC SHARPNOSE SHARK,76
1037,"Crab, Hanasaki (Spiny) King",925,556,KING CRAB UNIDENTIFIED,2
988,"Greenling, kelp",194,563,GREENLING UNIDENTIFIED,390
993,"Grenadiers (rattails, general)",213,564,GRENADIER UNIDENTIFIED,80
1018,"Mussel, blue",855,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1015,"Clam, eastern softshell",842,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1009,"Clam, butter",810,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1012,"Clam, cockle",820,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1022,Snails,890,1225,SNAIL UNIDENTIFIED,30
68,Chum Salmon,450,89,SALMON UNIDENTIFIED,220
64,Chinook Salmon,410,94,CHINOOK SALMON,222
1612,"Crab, Multispine",951,131,CRAB UNIDENTIFIED,1
1027,"Crab, dungeness",910,135,DUNGENESS CRAB,12
73,"Shark, Other",689,161,SHARK UNIDENTIFIED,65
1517,Eels or eel-like fish  ,210,207,TWOLINE EELPOUT,253
1531,Other Small Sculpins,160,252,RIBBED SCULPIN,408
1531,Other Small Sculpins,160,253,CRESTED SCULPIN,409
1538,Other Large Sculpins,286,256,BUTTERFLY SCULPIN,415
1519,"Snailfish, general",218,267,RINGTAIL SNAILFISH,508
1511,"Lumpsucker, smooth",216,268,LUMPSUCKER UNIDENTIFIED,525
59,"Pricklebacks, etc.  (family Stichaeidae)",208,292,SNAKE PRICKLEBACK,751
991,Wrymouths,211,294,GIANT WRYMOUTH,760
991,Wrymouths,211,301,DWARF WRYMOUTH,783
76,Lanternfishes (family Myctophidae),772,359,NORTHERN LANTERNFISH,702
77,Deep-sea Smelt (family Bathylagidae),773,363,EARED BLACKSMELT,615
1517,Eels or eel-like fish  ,210,369,SLENDER SNIPE EEL,560
1521,"Poacher, general",219,372,SMOOTH ALLIGATORFISH,454
1531,Other Small Sculpins,160,382,SPECTACLED SCULPIN,426
1531,Other Small Sculpins,160,386,THREADFIN SCULPIN,403
993,"Grenadiers (rattails, general)",213,406,FILAMENTED RATTAIL,83
14,Sand Sole,132,415,SAND SOLE,115
58,"Gunnels, (family Pholidae)",207,416,GUNNEL UNIDENTIFIED,430
83,Red King Crab,921,417,RED KING CRAB,13
1531,Other Small Sculpins,160,450,SILVERSPOTTED SCULPIN,396
50,Pygmy Rockfish,179,452,PYGMY ROCKFISH,335
1531,Other Small Sculpins,160,464,TRIGLOPS SCULPIN UNIDENTIFIED,433
59,"Pricklebacks, etc.  (family Stichaeidae)",208,489,WHITEBARRED PRICKLEBACK,755
1536,Large Sculpins - Warty Sculpin,284,530,SCULPIN UNIDENTIFIED,400
1533,Large Sculpins - Great Sculpin,281,530,SCULPIN UNIDENTIFIED,400
